text,sentiment
paket sudah saya terima agan. produk bagus rekomendit bget bagi pemain tenis meja Terima Kasih,1
"sesuai dengan deskripsi, respons penjual bagus pengiriman juga cepat terima kasih",1
"lumayan bagus kok, kualitas sesuai dengan harga nya. pengiriman lengkap adapun seller recommended",1
pembuka tempat baterai agak keras,1
"siap. barang sesuai pesanan, pokoknya eh mantul",1
pengirimannya cepat sekali,1
terima kasih.,1
"barang sudah diterima dengan baik, sesuai pesanan dan sampai tepat waktu. terima kasih",1
"barang cepat sampai, sesuai dengan deskripsi produk mantap agan",1
bagus sekali produk nya,1
"terima kasih, barang sudah sampai dan berfungsi dengan baik. recommended seller",1
suka. packaging rapi dan cepat sampaii,1
bagus produk awet packing rapi,1
seller ramah dan fast respons. packaging rapi kualitas kaos ok? bakal beli lagi,1
"terima kasih kakak. barangnya sudah sampai, bagus sesuai respons",1
"sudah terima, Terima Kasih pengiriman cepat",1
"barang bagus, pengiriman cepat recommended seller",1
sesuai deskripsi.,1
"terima kasih banyak, barang sudah diterima dengan baik",1
barang sesuai.,1
"pesanan sudah sampai dengan selamat, terima kasih",1
"barang bagus sesuai pesanan, tapi driver gojek agak kurang ajar",1
"barang sudah diterima dengan baik, terima kasih.",1
"4 dulu, belum di cek.",1
mantap producknya. semoga awet,1
terima kasih.,1
"keyboardnya bagus sesuai dengan di gambar, pas coba keypadnya enak dipakai buat ngetik. fast respons dan barang cepat sampai Terima Kasih recommended",1
"beli 2 beda warna, tetapi sama kak nya dikirim yang. udah terlanjur dikemas diganti ovo lho ke saya padahal saya terima barang ditanggung jawab sekali celana sesuai deskripsi",1
"mantap barang cepat sampainya, seller positive respons harga pas kualitas oke rekomendasi banget pokoknya",1
sarung tinjunya sudah saya terima. Terima Kasih Anda,1
"sesuai pesanan, Rekomendasi seller",1
"pelayanan danrespon sangat cepat, jedah waktupenerimaan pesanan hanya zaman dari pesan barang recommended nih",1
"matab, barang dengan baik sampai dan bisa langsung dipasang. ok sangat buat recommended",1
"paket sudah diterima, barang sesuai pesanan Terima Kasih",1
"pengiriman cepat, datang sesuai pesanan dan dibungkus dengan rapi. terima kasih ya barang sudah diterima dengan baik",1
mantap tas raket nya Terima Kasih,1
"respons cepat, paket rapi",1
"terima kasih agan, barangnya sudah diterima",1
barang nya bagus sesuai dengan gambar dan tajam juga semoga awet deh pisau,1
enak banget. lembut dan manisnya pas,1
"fast respons, barang sesuai dengan gambar",1
respons oke. barang berfungsi,1
"terima kasih, barang bagus",1
barang yang dikirim bagus sesuai deskripsi. terbaik banget,1
"pengiriman cepat sampai, barang sesuai pesanan recommended seller",1
barang sudah diterima. Terima Kasih Anda,1
"bahannya bagus, lucu anet",1
respons dan barangnya bagus,1
recommended deh pokoknya,1
barangnya sangat bagus. terima kasih,1
tinta sudah sampai harga nya ok.,1
barang bagus dan memuaskan,1
overall ok.,1
berfungsi dengan baik. bagus,1
terima kasih. anak saya suka sekali,1
sumpah ini pesan ketiga kalinya dan memuaskan ya packaging-nya sangan bagus luar biasanya,1
ukuran dan warna sesuai dengan foto deskripsi produk yang di jual,1
"sellernya mantap pelayanannya sangat responsif di hari minggu pagi, pesanan dan dikirim tidak sampai 2 jam barang sudah mendarat packing ok produknya joss",1
sesuai gambar dan deskripsinya.,1
"cepat sampainya, semoga awet ada garandinya juga",1
sepatunya bagus adik aku suka.,1
barangnya sudah di terima dengan baik. terima kasih warung olah raga,1
murah. bahan tidak kalah dengan toko sebelah yang harga nya lebih mahal good,1
selalu menjadi yang terbaik. sukses ya,1
terima kasih agan. barang rapi sampai ke rumah,1
bagus sesuai dengan deskripsi.,1
produk datang dengan cepat dan pembungkusannya rapi,1
"barang bagus sesuai deskripsi, pengiriman cepat",1
"barang sudah di terima dan sesuai, Terima Kasih",1
"mantap. ,",1
"barang bagus, pelayanan pengiriman cepat",1
terima kasih barang sudah sampai Kakak.,1
produk lontong lembutnya mantap.,1
pengiriman cepat dan fungsi dengan baik Terima Kasih,1
belum sempeg di cek.,1
"recommended seller, pelayanan tanya jawabnya cepat dan ramah.",1
wah dapat free biskuit. terima kasih,1
maaf telat review. barang bagus terima kasih,1
good sesuai dengan gambar. sudah dipakai juga terima kasih,1
namanya tempat banget ya seperti ini biasanya saja,1
"hampir sempurna, packing nya doang yang kurang aman dari benturan",1
"pas, bagus cocok di cuaca panas jadi tidak gerah.",1
bola bagus respons penjual bagus,1
bubble ada. terima kasih,1
mantap keren bagus berkualitas,1
"sesuai lah, mantap. fast respons gaperlu di chat lagi di",1
produk sesuai dan cepat sampai. terima kasih,1
"recommended, sukses selalu untuk tokonya kakak",1
barang bagus. sudah berkali kali beli di toko ini,1
segeer banget dan sedeep,1
barang sudah sampai dengan baik dan cepat. jos,1
"pengiriman cepat barang ok, good seller.",1
penjualnya ramah. respons bagus proses pesanan cepat,1
produk sesuai deskripsi dan saat ini berfungsi dengan baik. sangat membantu sekali dengan kurang nya colokan usb semoga awet Terima Kasih agan salam sukses,1
bagus banget sandalnya,1
"barang sudah sampai, Terima Kasih. please more respons",1
"barang sesuai harga, kualitas mantap",1
"seller responsif dan ramah, produk sesuai deskripsi sepatunya bagus banget pengirah cepat",1
"kondisi barang sangat memuaskan, kemasan rapi pengiriman cepat.",1
"semoga semakin baik lagi, lebih teliti karena keterhambatan membuat waktu kami tersita",1
"murah tapi berfungsi baik, terima kasih bos",1
terima kasih barang sudah sampai. pengirimannya cepat kemasan rapi terima kasih,1
cepat mantap jiwa,1
kualitas produk sangat memuaskan. terima kasih,1
sampai dengan cepat terima kasih banyak,1
barang mantap di tes ok siap markotop,1
"pengiriman cepat dan bagus, besok bisa beli lagi ya",1
barang sesuai iklan. fast moving dan good seller,1
barang bagus. kiriman cepat,1
bagus anak saya sangat suka,1
produk original. barang sesuai deskripsi bahan tebal keren,1
mouse sesuai deskripsi. dan bisa digunakan,1
kualitas produk ok. pas di kaki,1
barangnya bagus. terima kasih ya agan,1
"baik, packing aman pengiriman cepat",1
bukan merek kenmaster ternyata,1
barang bagus tapi kenapa baterainya sudah langsung mau habis ya.,1
makassi.,1
good lah cepat sampai nya,1
"sudah diterima, siap. sesuai dengan deskripsi",1
"respons cepat, recommended seller",1
"produk original. habis scan barcode juga fast respons, dan admin nya sangat membantu",1
"barang ok respons cepat, pertahankan pencapaiannya. supaya nanti bisa jadi langganan",1
"anak saya bisa makan, karena tidak asam dan tidak terlalu pedas",1
"respons cepat, barang sesuai deskripsi terima kasih",1
"cepat responsive, kualitas sesuai harga. Terima Kasih",1
"produk sesuai gambar dan deskripsi, beda bentuk sedikit",1
"pengiriman cepat, packing rapi dan aman jumlah sesuai dengan yang dipesan. terima kasih seller",1
terima kasih barang sudah sampai,1
pengiriman cepat dan packing rapi,1
"barang ok, pengiriman lama konfirmasi saja butuh 2 hari packing tidak banget pakai bubble",1
terima kasih agan barang udah sampai fast respons dan pengiriman cepat kemarin persen hari ini.,1
paket sudah diterima dengan baik. terima kasih,1
produk sesuai.,1
barang bagus. sangat Rekomendasi untuk yang lain,1
"barang sudah sampai dan sesuai tidak ada yang cacat agan, mantap jiwa deh pokoknya",1
mantap. kondisis paket rapi,1
"terima kasih agan, working dan original. cuma kok di monitor yang warna kelihatannya tidak penuh ya? tetapi tidak problem at all",1
barang sudah diterima dengan baik. pelayanan sangat memuaskan terima kasih,1
mantap barang udah sampai.,1
"udah sampai dengan aman packing rapi, tinggal saya coba rakit agan. terima kasih Anda",1
respons dan pengiriman cepat. untuk kualitas ya sesuai lah agak kecil tipis,1
kesukaan anak.,1
"barang sesuai deskripsi dan bagus. bahan berkualitas, pengiriman cepat terima kasih",1
"penjual responsif dan tanggapannya bagus, tapi hari kerjanya seperti pns tertawa. barang yang dikirim mendarat dengan selamat bagus dalam perjalanan cek originalitas harga di toko fossil 2 6 luxo 1 3 udah tidak bisa bilang apa lagi Ngomong-ngomong saya tidak tahu claim garansi mesti bagaimana prosesnya ya berharap jam nya awet saja sudah",1
terima kasih sesuai barang nya,1
recommended seller. respons cepat barang sesuai pesanan mantap,1
baik dan murah pada saat promo,1
Terima Kasih timex. jamnya sudah sampai,1
"bahannya bagus, jahitan rapi tebal tidak menerawang udah 3x beli di toko ini dan hasilnya memuaskan respons penjual cepat kiriman juga",1
barang diterima dengan baik. respons cepat adapun bersahabat mantap,1
bagus cuma sayang tidak dapat sarung nya. tertawa,1
sesuai pesanan packing joss mantap cepat sampai,1
kualitasnya mantul,1
"barang mendarat dengan selamat, good seller. ?",1
murah dan berkualitas untuk kesekian kalinya belanja di di sini sangat puas,1
lumayan baik produknya,1
ulasan produknya sesuai semuanya mantap,1
barang sesuai terima kasih,1
"pelayanan cepat, kualitas sepatu cukup bagus dikelasnya. sarannya packing bisa lebih tebal ditambahkan bubble wrap",1
barang bagus. packing juga rapi sesuai ekspektasi saya performanya,1
belum sempet buka. tapi semoga bagus sudah,1
barang diterima sesuai jadwal dan tepat waktu,1
sudah diterima. terima kasih,1
produk sesuai dengan deskripsi.,1
"lumayan produknya dengan harga segtu, anyway tidak mengecewakan",1
"bermanfaat banget buat ngelus kucing dried fur, dan sikat bersih untuk mandiin saya.",1
"respons cepat, produk bagus",1
respons penjual cepat dan ramah,1
"bagus, kencang sayangnya ada yang patah 1.",1
barang ok. pengiriman juga cepat Terima Kasih,1
ini pembelian yang kedua di moment watch lewat cepat promo. barangnya bagus dan berkualitas semoga ada discount lagi jadi bisa repeat pemesanan terima kasih banyak untuk pengiriman jam nya,1
Terima Kasih.,1
bordir rapi suka,1
bagus sekali pengiriman cepat,1
mantap agan cepat banget memuaskan.,1
"maaf baru ngerereview. barang bagus dan sudah di coba packing rapi, pengiriman cepat",1
"maaf agan telat baru buka paketnya, barang bagus udah terpasang dan di pengisi daya normal terima kasih.",1
"recommended seller. packing rapi super aman, shg kemasan tidak penyok barang original expired masih lama two thumbs up",1
"barang bagus sesuai pesanan, dan fast respons",1
"produk sampai cepat sekali, pesanan sesuai. abonnya enak saya sudah Pemesanan ulang kesekian kali terima kasih banyak kak",1
alhamdulillah barang sudah sampai. terima kasih om,1
barang sudah sampai tepat pada waktunyaa. sekut banget barangnya,1
barang sesuai cepat sampai,1
sudah beli yang ke sekian kalinya,1
mantap barang bagus respons cepat packing rapi,1
makasihvbarang sesuai yang saya mau,1
sudah diterima dalam keadaan lengkap dan ada bonusnya juga. terima kasih seller,1
"mantap ini, cocok bisa dipakai semoga tahan lama",1
"terima kasih cepat sekali datangnya. semoga jadi langganan terus, harga juga ok",1
"barang mantap, pokoknya best of yang seller",1
"barangnya bagus bangett, dengan harga yang affordable kualitas lumayan gokil sihh",1
"mantap agan, sesuai di gambar recommendation seller ya all",1
packing rapi. produk original mantabss,1
"barang sampai dengan selamat, jumlahnya pas motifnya bener random jadi untuk dijadiin bingkisan. bahannya tipis tapi bagus?",1
pengiriman cepat respons dari penjual juga oke banget.,1
barang sudah diterima. terima kasih ya,1
"sering beli disini: di sini, dan selalu memuaskan barang asli pelayanan mantap",1
mantap agan. barang bagus banget harga super murah kiriman cepat dan respons seller benar baik ramah semoga makin sukses handphone Tim,1
"respons cepat, komunikatif dan barang sesuai",1
terima kasih sepatunya sesuai gambar.,1
produk baik tidak cacat sesuai tampilan packaging rapi,1
barang sesuai pesanan.,1
"respons cepat, barang sesuai dengan deskripsi",1
next pasti pemesanan disini: di sini lagi. terima kasih,1
"barang sampai dengan selamat, recommended banget toko ini",1
"packing dan pengiriman bagus. barang original, ada buku garansi beserta kotak jam bekerja tidak cacat",1
"barang sudah di terima dan berfungsi dengan baik, terima kasih agan",1
"enak dipakai untuk olah raga, Terima Kasih seller sukses selalu",1
barang telah di terima dengan baik. respons cepat,1
"proses cepat, sesuai pesanan",1
"recommended seller packing super rapi, kemasan dalam aman respons juga cepat dan ramah. baru buka belum sempat tes baterai mudah-mudahan awet",1
barang sudah sampai suka banget sama nya kurir juga ramah?,1
mantaaplpll agan,1
lucu bangett adapun keren banget,1
"mantap bro, terima kasih",1
"barang sudah sampai, terima kasih.",1
"barangnya bagus, nyaman. kemasan dan bungkus rapi",1
"barang sesuai deskripsi, packing rapi mantap",1
"packing aman banget, produk original sesuai iklan Terima Kasih",1
sesuai deskripsi dan gambar go green mantap,1
"terbaik markotop, kualitas mantul.",1
kualitas barang bagus adapun berfungsi dengan baik,1
enak banget asli pengiriman cepat,1
terima kasih.,1
"bahan bagus, kualitas sesuai harga",1
"barang sesuai, packing aman cepat sampai.",1
mantap. respons cepat pengiriman,1
cantik banget jamnyaa. Terima kasih banyaak ya,1
touch screen lancar. layar sensitif respons penjualnya terbaik,1
"dikemas dengan baik, barang sesuai pesanan dicoba berfungsi.",1
terbaik banget.,1
barang bagus seperti di gambar,1
barang sudah diterima.,1
terima kasih. barang sudah sampai dan sesuai deskripsi sukses selalu,1
"ayam afrikanya enak juicy seperti yang diiklankan terus yang suka potongannya besar dan semua dapat potongan paha, baik atas atau utuh itu. anak saya masih balita pun jadi nagih terima kasih sukses selalu ya",1
"pengiriman cepat, harga murah",1
barang sesuai pesanan packing rapi.,1
sesuai deskripsi. mantap,1
"sepatunya bagus, bahan lumayan halus glitter nya ok. blink begitu semoga awet cakep tetapi kebesaran di kaki putriku overall",1
"proses cepat, 1 hari sampai tenkiu agan. recsel sudah",1
"pengirimannya terbilang cepat banget ya untuk versi pengiriman reguler cuma 2hari. kalau kualitas barang lumayan, yang kurang bagus itu antara part plastik dan besinya ada beberapa yang sulit dihubungkan karena cetakan rapi",1
"barang sesuai deskripsi, pengiriman cepat recommended seller",1
bagus. terima kasih,1
"sesuai pesanan, dan cepat sampai. terima kasih",1
alhamdulillah sudah sampai dan dirakit juga. lumayan tempat sepatunya ketutup meminimalisir debu,1
agan barang sudah diterima dengan selamat. Terima Kasih ya,1
suara jelas pengiriman saja agak lambat sisanya oke lah,1
"barang sampai, sesuai dengan speknya",1
paket pesanan nya sudah saya terima dengan baik. pertahankan kelebihan layanannya minimalkan kekurangan dari recommended seller,1
terima kasih setelah ada sedikit kendala akhirnya sampai juga adminnya juga ramah terima kasih,1
"packing bagus, barang. toko terpercaya dan recommended",1
packing-nya rapi. Terima Kasih ya,1
terima kasih kak.,1
barang sesuai dan kondisi mulus. Terima Kasih agan,1
terima kasih barang sudah sampai. semoga aweet dan belum di tes,1
Terima Kasih ba barang sudah sampai.,1
sesuai. seperti yang di pesan,1
keripiknya dibungkus bubble satu persatu di dimskkan dus dong. Terima Kasih seller,1
"Terima Kasih atas dukungannya, memuaskan dan baik",1
barang sudah sampai sesuai pesanan,1
kendaraan menjadi kinclong kembali mantap.,1
good jos. barang sesuai deskripsi adapun request saya puas dengan semuaa Terima Kasih,1
jam tangannya elegant tidak murahan juga. terbaik markotop,1
barang cepat sampai dan kondisi tidak mengecewakan,1
"respons selalu cepat, beli tinta di toko ini. cepat packing juga rapi sukses terus",1
packing rapi barang berfungsi baik semoga awet,1
packing bagus dan barang sesuai pesanan. sukses terus agan,1
produknya baik dan kualitasny good banget. produk sampai ke konsumen dalam kondisi sesuai sih sama harga juga lalu overall sangat lah?,1
berfungsi dengan baik normal,1
barang diterima dalam kondisi bagus,1
mantap recommended terima kasih agan,1
produk sesuai dengan deskripsi. pengiriman cepat,1
cepat sampai dan sesuai. terima kasih,1
terbaik markotop deh. recommended seller,1
original sip.,1
tidak ada manual book jadi bingung cara pakainya,1
"gampang dibawabawa, terlalu imut ukurannya",1
"sangat sesuai deskripsi, ukuran pas. recommended seller",1
barang cepat sampai.,1
barang sesuai dan pengiriman cepat,1
barang bagus. respons cepat maaf ulasannya lambat,1
selalu puas beli sepatu di di sini.,1
"kemasan bubble wrap rapi, tapi kardusnya sedikit penyok. arm bracketnya baik saja langsung dipasang tripodnya kokoh produk sesuai",1
"kualitas bagus, walau warna tidak sesuai pesanan.",1
kualitas bagus recommended seller,1
"sampai tepat waktu, barang sesuai deskripsi Terima Kasih Anda.",1
sesuai yang diharapkan,1
ada qos buat bandwith limiter per user. sangat berguna membatas speed tiap berfungsi dengan normal sinyal lumayan kuat,1
baranf bagus. terbaik terima kasih,1
"super keren sangat. pengiriman cepat, packaging rapi sip",1
"fast respons, sayang pengiriman lambat",1
